id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1177883,2024-01-29,000001,Vente,370000,107,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AH0078,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,30,0,S,sols,,,56,-61.535767,16.240663
2024-1177962,2024-01-24,000001,Vente,48400,11,,RUE BEBIAN,0130,97110,97120,Pointe-à-Pitre,971,,,97120000AM0353,,,,,,,,,,,,,0,,,,,S,sols,,,90,-61.533465,16.238966
2024-1177973,2024-02-08,000001,Vente,96000,8001,,RES MIQUEL,A136,97110,97120,Pointe-à-Pitre,971,,,97120000AC0125,,,6,,,,,,,,,,1,3,Dépendance,,0,,,,,,-61.53406,16.246244
2024-1177973,2024-02-08,000001,Vente,96000,8001,,RES MIQUEL,A136,97110,97120,Pointe-à-Pitre,971,,,97120000AC0125,,,36,,,,,,,,,,1,2,Appartement,66,4,,,,,,-61.53406,16.246244
2024-1177991,2024-01-18,000001,Vente,115000,8001,,RES POINSETTIA GENEVIEVE,A165,97110,97120,Pointe-à-Pitre,971,,,97120000AE0185,,,28,,,,,,,,,,1,2,Appartement,99,6,,,,,,-61.533616,16.242876
2024-1177996,2024-02-06,000001,Vente,195000,9,,RUE FREBAULT,0410,97110,97120,Pointe-à-Pitre,971,,,97120000AK0164,,,15,,,,,,,,,,1,2,Appartement,20,1,,,,,,-61.536497,16.235682
2024-1177996,2024-02-06,000001,Vente,195000,9,,RUE FREBAULT,0410,97110,97120,Pointe-à-Pitre,971,,,97120000AK0164,,,18,,,,,,,,,,1,2,Appartement,25,1,,,,,,-61.536497,16.235682
2024-1177996,2024-02-06,000001,Vente,195000,9,,RUE FREBAULT,0410,97110,97120,Pointe-à-Pitre,971,,,97120000AK0164,,,16,,,,,,,,,,1,2,Appartement,20,1,,,,,,-61.536497,16.235682
2024-1177997,2024-02-06,000001,Vente,65000,9,,RUE FREBAULT,0410,97110,97120,Pointe-à-Pitre,971,,,97120000AK0164,,,22,,,,,,,,,,1,2,Appartement,20,1,,,,,,-61.536497,16.235682
2024-1178013,2024-02-15,000001,Vente,80000,2,,RUE DU FOND LAUGIER,0375,97110,97120,Pointe-à-Pitre,971,,,97120000AN0086,,,,,,,,,,,,,0,,,,,S,sols,,,209,-61.530267,16.23612
2024-1178023,2024-02-20,000001,Vente,56000,413,,RES GEORGES ROUX,A085,97110,97120,Pointe-à-Pitre,971,,,97120000AN0223,,,8,,,,,,,,,,1,2,Appartement,41,3,,,,,,-61.530021,16.239368
2024-1178035,2024-02-16,000001,Vente,700000,,,ILET FEUILLE,B181,97110,97120,Pointe-à-Pitre,971,,,97120000AV0001,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,10680,-61.556088,16.229044
2024-1178035,2024-02-16,000001,Vente,700000,,,ILET FEUILLE,B181,97110,97120,Pointe-à-Pitre,971,,,97120000AV0002,,,,,,,,,,,,,0,,,,,S,sols,,,184,-61.556041,16.22896
2024-1178035,2024-02-16,000001,Vente,700000,9001,,ILET FEUILLE,B181,97110,97120,Pointe-à-Pitre,971,,,97120000AV0003,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,526,-61.555784,16.228744
2024-1178035,2024-02-16,000001,Vente,700000,9001,,ILET FEUILLE,B181,97110,97120,Pointe-à-Pitre,971,,,97120000AV0003,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,526,-61.555784,16.228744
2024-1178035,2024-02-16,000001,Vente,700000,9001,,ILET FEUILLE,B181,97110,97120,Pointe-à-Pitre,971,,,97120000AV0003,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,526,-61.555784,16.228744
